"Player Name","Period Name","Period Number","Max Acceleration","Max Deceleration","Acceleration B1-3 Average Efforts (Session) (Gen 2)","Deceleration B1-3 Average Efforts (Session) (Gen 2)","Average Duration (Session)","Average Distance (Session)","Average Player Load (Session)","Maximum Velocity","Max Vel (% Max)","Meterage Per Minute","Player Load Per Minute","Velocity Work/Rest Ratio","IMA Impacts Band 2 Average Count (Session)","Velocity Band 1 Average Distance (Session)","Velocity Band 2 Average Distance (Session)","Velocity Band 3 Average Distance (Session)","Velocity Band 4 Average Distance (Session)","Velocity Band 5 Average Distance (Session)","Velocity Band 6 Average Distance (Session)","Accel&Decel Efforts","Accel&Decel Efforts Per Minute","Heart Rate Exertion","Red Zone","Energy","High Metabolic Load Distance","High Speed Distance","High Speed Distance Per Minute","High Speed Efforts","Sprint Distance Per Minute","Sprint Efforts","Athlete Tags","Activity Tags","Game Tags","Athlete Participation Tags","Period Tags","Preseason","Week","Type","Date","Day","External_Data"
"Caitlyn Halse","Session",0,5.60973,NA,84,17,01:15:41,4033.07941,0,6.88498,89.02215,54.16413,7.79942,NA,NA,2293.96004,1176.81001,396.52,97.4,64.73,0,101,1.33459892659486,NA,NA,NA,423.17,162.13,2.1423616234537,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Adiana Talakai","Session",0,3.54606,NA,75,18,01:20:20,4716.17651,0,6.50139,93.54513,58.70455,6.01265,NA,NA,2456.69997,1810.06001,348.49,58.94,40.6,0,93,1.15761630620818,NA,NA,NA,199.41,99.54,1.23902287225766,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Rosie Ferguson","Session",0,3.61588,NA,160,67,01:21:31,5941.46021,0,7.60397,97.11323,72.886,8.88945,NA,NA,2644.62006,2196.16999,772.8,151.04,112.44,61.55,227,2.78468952347461,NA,NA,NA,618.95,325.03,3.98725830755485,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Darcie Prosser-Shaw","Session",0,4.30527,NA,176,73,01:21:31,5688.46515,0,8.39891,100.00002,69.78242,7.9782,NA,NA,2392.23003,2180.29002,794.94999,164.04,60.79,93.55,249,3.05457132751179,NA,NA,NA,689.52,318.38,3.90568039860725,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Kailani Leota","Session",0,3.78544,NA,100,35,01:20:20,4476.35242,0,6.47198,99.99999,55.71934,5.4752,NA,NA,2366.86002,1684.63997,302.59,67.62,51.61,0,135,1.6804107670764,NA,NA,NA,247.62,119.23,1.48411389450755,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Seneti Kilisimasi","Session",0,3.57927,NA,57,13,01:20:20,4282.40997,0,6.58168,87.75569,53.30524,5.34224,NA,NA,2416.63999,1594.66,187.46,49.11,33.87,0,70,0.87132410144702,NA,NA,NA,161.44,82.98,1.03289248482962,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Annabelle Codey","Session",0,3.8939,NA,51,19,00:51:06,2850.86719,0,6.85519,80.53204,56.43791,5.45725,NA,NA,1111,328.44,538.88,780.92999,90.95,0,70,1.36990769431488,NA,NA,NA,772.97001,871.87999,17.0627872402883,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Talia Morgan","Session",0,3.86707,NA,103,40,01:20:20,4830.23236,0,7.54672,100.00004,60.12426,4.92219,NA,NA,2356.79997,1835.84001,493.97,50.37,60.07,31.86,143,1.77999066438463,NA,NA,NA,333.58,142.3,1.77127742337016,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Ruby Anderson","Session",0,4.2147,NA,100,38,01:20:41,4676.3407,0,7.4593,97.76272,57.95883,5.47996,NA,NA,2642.25002,1293.30999,529.37,99.51,72.24,34.72,138,1.71037981586563,NA,NA,NA,372.83,206.47,2.55900087378099,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
"Nicole Nathan","Session",0,4.02926,NA,115,50,01:20:20,4841.81299,0,7.09191,90.1222,60.26841,6.91302,NA,NA,2454.87,1793.77999,458.6,52.22,76.44,5.51,165,2.05383538198226,NA,NA,NA,362.96,134.17,1.67007935273067,NA,NA,NA,NA,NA,NA,NA,NA,"no",10,"extensive",20260506,"wednesday",NA
