Name,Position_Number,Position_Name,Position_Abrev,Forward_Back,Sevens,25max_acceleration,25acceleration_efforts,25average_distance,25average_player_load,25maximum_velocity,25highspeed_distance,25veryhighspeed_distance,25hmld,26max_acceleration,26acceleration_efforts,26average_distance,26average_player_load,26maximum_velocity,26highspeed_distance,26veryhighspeed_distance,26hmld,25avg_max_acceleration,25avgacceleration_efforts,25avgaverage_distance,25avgaverage_player_load,25avgmaximum_velocity,25avghighspeed_distance,25avgveryhighspeed_distance,25avghmld
Ruby Anderson,4,backrow,BR,forward,no,4.27,132,6444.56,700.69,7.52,303.32,26.2,1954.38,4.32,119,5225.92,555.37,7.32,501.21,46.09,1608.97,3.69,72.24,3364.01,346.98,6.34,122.94,2.81,831.8
Edi Burke,5,halfback,IB,back,yes,,,,,,,,,4.33,175,6612.59,755.43,8.07,1030.09,76.69,1830.44,,,,,,,,
Emily Chancellor,4,backrow,BR,forward,no,4.58,183,6390.45,806.31,7.86,500.39,93.61,2005.12,3.74,123,4953.85,664.27,7.14,521.24,8.34,1691.13,3.81,94.7,3673.13,474.23,6.47,214.49,11.34,940.79
Annabelle Codey,3,lock,SR,forward,no,4.52,126,6666.11,670.89,7.59,261.24,50.66,2205.52,5.91,102,4825.65,455.2,17.58,610.62,4.11,1529.42,3.62,63.95,3450.51,321.17,6.25,87.78,3.76,923.08
Anaia Cruickshank,5,centre,OB,back,yes,3.61,20,2208.59,213.5,7.63,568.27,130.07,338.65,3.78,154,5363.2,604.69,6.64,171.21,0,1499.96,3.54,15,1853.73,176.97,7.58,559.89,113.15,236.21
Piper Duck,4,backrow,BR,forward,no,4.63,120,6456.94,710.86,7.84,684.26,65.75,2060.31,4.35,98,4434.08,489.74,7.34,277.58,11.43,1088.89,3.76,78.31,3704.28,385.59,6.43,195.06,9.69,957.06
Waiaria Ellis,4,halfback,IB,back,no,4.5,187,6797.73,864.19,8.06,583.19,96.6,1845.37,4.16,177,5974.64,720.09,7.44,612.43,31.36,1860.68,3.89,89.78,4074.82,475.18,6.96,259.83,21.31,1087.8
Rosie Ferguson,4,centre,IB,back,no,,,,,,,,,4.13,165,7500.94,847.67,7.53,808.08,77.16,2089.96,,,,,,,,
Georgie Friedrichs,4,centre,IB,back,no,4.84,178,6722.68,672.87,8.29,836.17,158.78,1613.21,4.41,115,4067.54,459.19,7.12,637.49,6.28,812.97,4.12,98.27,4037.77,423.08,7.19,430.39,34.21,925.56
Grace Gillies,4,backrow,BR,forward,no,,,,,,,,,4.09,126,5277.23,630.6,7.42,647.87,20.32,2628.68,,,,,,,,
